0.47s, 2, blue, Exit
0.57s, 4, blue, Entry
0.67s, 3, red, Exit
0.70s, 4, red, Entry
0.77s, 3, red, Exit
0.80s, 4, red, Entry
0.83s, 3, red, Exit
0.87s, 4, red, Entry
1.00s, 3, red, Exit
1.03s, 4, red, Entry
1.07s, 2, blue, Exit
1.10s, 3, red, Exit
1.10s, 4, blue, Entry
1.13s, 4, red, Entry
1.13s, 2, blue, Exit
1.17s, 4, blue, Entry
1.23s, 3, red, Exit
1.23s, 2, blue, Exit
1.27s, 4, blue, Entry
1.33s, 4, red, Entry
1.43s, 3, red, Exit
1.53s, 2, blue, Exit
1.57s, 4, red, Entry
1.57s, 4, blue, Entry
1.60s, 3, red, Exit
1.70s, 4, red, Entry
1.73s, 3, red, Exit
1.73s, 2, blue, Exit
1.80s, 4, blue, Entry
1.83s, 2, blue, Exit
1.87s, 4, blue, Entry
1.90s, 4, red, Entry
1.97s, 3, red, Exit
2.03s, 4, red, Entry
2.13s, 3, red, Exit
2.17s, 2, blue, Exit
2.20s, 4, red, Entry
2.20s, 4, blue, Entry
2.23s, 2, blue, Exit
2.50s, 4, blue, Entry
3.03s, 3, red, Exit
3.07s, 4, red, Entry
3.10s, 3, red, Exit
3.33s, 4, red, Entry
3.40s, 3, red, Exit
3.43s, 4, red, Entry
3.53s, 3, red, Exit
3.57s, 4, red, Entry
3.60s, 3, red, Exit
3.70s, 4, red, Entry
3.73s, 3, red, Exit
4.10s, 4, red, Entry
4.13s, 3, red, Exit
4.20s, 4, red, Entry
4.27s, 3, red, Exit
4.30s, 4, red, Entry
4.40s, 3, red, Exit
6.10s, 4, red, Entry
6.27s, 3, red, Exit
6.33s, 4, red, Entry
6.37s, 3, red, Exit
9.20s, 4, red, Entry
9.23s, 3, red, Exit
9.30s, 4, red, Entry
9.37s, 3, red, Exit
9.40s, 4, red, Entry
9.50s, 2, blue, Exit
9.80s, 4, blue, Entry
10.27s, 3, red, Exit
10.53s, 4, red, Entry
10.57s, 3, red, Exit
10.63s, 4, red, Entry
10.83s, 3, red, Exit
10.90s, 4, red, Entry
10.97s, 3, red, Exit
11.13s, 4, red, Entry
11.23s, 3, red, Exit
11.27s, 4, red, Entry
11.30s, 3, red, Exit
11.37s, 4, red, Entry
11.37s, 2, blue, Exit
11.40s, 3, red, Exit
11.53s, 4, blue, Entry
11.60s, 4, red, Entry
11.60s, 2, blue, Exit
11.63s, 3, red, Exit
11.67s, 4, blue, Entry
11.70s, 2, blue, Exit
11.73s, 4, blue, Entry
11.83s, 2, blue, Exit
11.90s, 4, blue, Entry
12.20s, 4, red, Entry
12.20s, 2, blue, Exit
12.27s, 3, red, Exit
12.30s, 4, red, Entry
12.37s, 3, red, Exit
12.37s, 4, blue, Entry
12.43s, 4, red, Entry
12.50s, 3, red, Exit
12.50s, 2, blue, Exit
12.53s, 4, red, Entry
12.57s, 3, red, Exit
12.60s, 4, red, Entry
12.63s, 3, red, Exit
12.67s, 4, red, Entry
12.70s, 3, red, Exit
12.73s, 4, red, Entry
12.90s, 3, red, Exit
13.10s, 4, blue, Entry
13.17s, 2, blue, Exit
13.23s, 4, red, Entry
13.27s, 3, red, Exit
13.43s, 4, blue, Entry
13.50s, 2, blue, Exit
13.53s, 4, blue, Entry
14.03s, 4, red, Entry
14.07s, 3, red, Exit
14.10s, 4, red, Entry
14.13s, 2, blue, Exit
14.17s, 3, red, Exit
14.20s, 4, red, Entry
14.27s, 3, red, Exit
14.40s, 4, red, Entry
14.53s, 3, red, Exit
14.57s, 4, red, Entry
14.67s, 3, red, Exit
14.67s, 4, blue, Entry
14.73s, 4, red, Entry
14.80s, 2, blue, Exit
14.83s, 4, blue, Entry
14.87s, 3, red, Exit
15.03s, 4, red, Entry
15.07s, 3, red, Exit
15.10s, 2, blue, Exit
15.13s, 4, blue, Entry
15.17s, 2, blue, Exit
15.20s, 4, blue, Entry
15.30s, 2, blue, Exit
15.33s, 4, blue, Entry
15.57s, 4, red, Entry
15.63s, 3, red, Exit
15.67s, 4, red, Entry
15.67s, 2, blue, Exit
15.70s, 3, red, Exit
15.80s, 4, blue, Entry
16.17s, 4, red, Entry
16.43s, 2, blue, Exit
16.47s, 4, blue, Entry
16.50s, 3, red, Exit
16.53s, 4, red, Entry
16.57s, 3, red, Exit
16.60s, 4, red, Entry
16.83s, 3, red, Exit
16.87s, 4, red, Entry
16.93s, 3, red, Exit
16.97s, 4, red, Entry
17.07s, 2, blue, Exit
17.10s, 4, blue, Entry
17.20s, 3, red, Exit
17.30s, 4, red, Entry
17.40s, 3, red, Exit
17.47s, 4, red, Entry
17.50s, 3, red, Exit
17.57s, 4, red, Entry
17.70s, 3, red, Exit
17.73s, 4, red, Entry
18.20s, 3, red, Exit
18.23s, 4, red, Entry
18.27s, 3, red, Exit
18.40s, 4, red, Entry
18.50s, 3, red, Exit
18.53s, 4, red, Entry
18.60s, 3, red, Exit
18.63s, 4, red, Entry
18.73s, 3, red, Exit
18.83s, 4, red, Entry
18.93s, 3, red, Exit
19.07s, 4, red, Entry
19.10s, 3, red, Exit
19.23s, 4, red, Entry
19.27s, 3, red, Exit
19.30s, 4, red, Entry
19.43s, 3, red, Exit
19.50s, 4, red, Entry
19.53s, 3, red, Exit
19.57s, 4, red, Entry
20.00s, 3, red, Exit
20.20s, 4, red, Entry
20.23s, 3, red, Exit
20.27s, 4, red, Entry
20.57s, 3, red, Exit
20.67s, 4, red, Entry
20.77s, 3, red, Exit
20.80s, 4, red, Entry
21.37s, 3, red, Exit
21.43s, 4, red, Entry
24.57s, 3, red, Exit
24.90s, 4, red, Entry
25.40s, 3, red, Exit
25.47s, 4, red, Entry
25.50s, 3, red, Exit
25.53s, 4, red, Entry
25.63s, 3, red, Exit
